PID,FID
0,46
1,84
2,334
3,105
4,47
5,233
6,194
7,95
8,187
9,92
10,114
11,331
12,378
13,80
14,37
15,3
16,188
17,213
18,77
19,77
20,66
21,362
22,159
23,300
24,212
25,383
26,95
27,152
28,127
29,84
30,57
31,18
32,65
33,109
34,200
35,276
36,207
37,363
38,242
39,47
40,92
41,212
42,292
43,106
44,67
45,301
46,344
47,372
48,205
49,326
50,233
51,101
52,154
53,324
54,357
55,248
56,65
57,23
58,395
59,123
60,184
61,379
62,273
63,164
64,256
65,382
66,88
67,4
68,215
69,11
70,218
71,97
72,395
73,109
74,331
75,384
76,308
77,108
78,283
79,214
80,141
81,193
82,288
83,196
84,229
85,395
86,245
87,255
88,218
89,196
90,71
91,356
92,254
93,134
94,67
95,134
96,147
97,148
98,271
99,265
100,145
101,24
102,49
103,76
104,57
105,24
106,138
107,249
108,92
109,379
110,304
111,3
112,49
113,200
114,402
115,5
116,306
117,213
118,287
119,132
120,313
121,114
122,269
123,220
124,155
125,108
126,178
127,52
128,120
129,68
130,379
131,49
132,257
133,137
134,213
135,267
136,220
137,129
138,368
139,230
140,206
141,322
142,328
143,82
144,274
145,91
146,143
147,140
148,58
149,97
150,242
151,344
152,141
153,350
154,160
155,52
156,390
157,218
158,135
159,288
160,27
161,149
162,344
163,379
164,50
165,394
166,222
167,265
168,384
169,401
170,99
171,250
172,274
173,9
174,10
175,79
176,392
177,151
178,327
179,266
180,249
181,3
182,268
183,335
184,94
185,108
186,238
187,243
188,378
189,205
190,123
191,156
192,146
193,229
194,147
195,87
196,7
197,234
198,256
199,372
200,18
201,118
202,366
203,191
204,267
205,246
206,293
207,238
208,92
209,369
210,155
211,393
212,102
213,38
214,128
215,1
216,155
217,38
218,159
219,75
220,366
221,198
222,208
223,155
224,337
225,374
226,181
227,232
228,33
229,218
230,153
231,57
232,41
233,242
234,23
235,242
236,170
237,298
238,173
239,122
240,277
241,217
242,191
243,253
244,83
245,370
246,118
247,388
248,298
249,368
250,26
251,398
252,308
253,239
254,42
255,134
256,191
257,193
258,84
259,42
260,33
261,300
262,150
263,311
264,331
265,226
266,197
267,295
268,122
269,319
270,184
271,187
272,65
273,254
274,287
275,43
276,13
277,331
278,69
279,103
280,296
281,324
282,89
283,177
284,263
285,105
286,121
287,223
288,409
289,362
290,272
291,38
292,55
293,308
294,308
295,387
296,191
297,366
298,230
299,266
300,62
301,320
302,388
303,148
304,252
305,71
306,231
307,324
308,184
309,246
310,69
311,277
312,273
313,212
314,86
315,128
316,88
317,149
318,90
319,123
320,327
321,276
322,71
323,319
324,280
325,214
326,173
327,348
328,229
329,185
330,24
331,235
332,62
333,257
334,3
335,88
336,287
337,86
338,149
339,169
340,31
341,232
342,69
343,65
344,163
345,217
346,248
347,402
348,137
349,200
350,390
351,81
352,20
353,81
354,219
355,1
356,132
357,205
358,387
359,200
360,103
361,206
362,249
363,256
364,68
365,218
366,233
367,119
368,340
369,85
370,369
371,255
372,195
373,380
374,12
375,25
376,119
377,129
378,289
379,95
380,230
381,256
382,62
383,380
384,144
385,218
386,318
387,28
388,357
389,386
390,36
391,322
392,167
393,337
394,272
395,76
396,110
397,305
398,396
399,43
400,46
401,329
402,99
403,128
404,80
405,303
406,0
407,180
408,9
409,148
410,110
411,83
412,274
413,381
414,326
415,400
416,217
417,353
418,313
419,87
420,337
421,2
422,398
423,134
424,293
425,268
426,63
427,202
428,316
429,93
430,77
431,383
432,407
433,313
434,145
435,200
436,53
437,28
438,116
439,151
440,119
441,415
442,184
443,72
444,247
445,23
446,344
447,212
448,156
449,356
450,173
451,328
452,150
453,256
454,315
455,189
456,93
457,57
458,366
459,388
460,220
461,74
462,116
463,412
464,280
465,112
466,36
467,192
468,279
469,23
470,398
471,156
472,144
473,72
474,192
475,138
476,99
477,298
478,128
479,178
480,269
481,192
482,240
483,85
484,32
485,295
486,55
487,53
488,299
489,355
490,168
491,83
492,124
493,147
494,186
495,146
496,355
497,284
498,383
499,50
500,15
501,245
502,49
503,12
504,100
505,0
506,390
507,96
508,81
509,54
510,55
511,109
512,81
513,274
514,205
515,391
516,25
517,137
518,293
519,384
520,114
521,253
522,79
523,257
524,32
525,230
526,55
527,50
528,169
529,163
530,162
531,50
532,184
533,381
534,52
535,173
536,249
537,162
538,185
539,347
540,261
541,212
542,17
543,303
544,197
545,115
546,92
547,159
548,331
549,40
550,13
551,295
552,341
553,218
554,268
555,98
556,119
557,216
558,257
559,20
560,336
561,231
562,264
563,282
564,285
565,7
566,284
567,89
568,133
569,197
570,68
571,274
572,320
573,29
574,212
575,108
576,5
577,294
578,221
579,202
580,17
581,361
582,291
583,61
584,407
585,339
586,366
587,230
588,35
589,31
590,190
591,48
592,394
593,149
594,4
595,101
596,36
597,351
598,42
599,23
600,145
601,268
602,411
603,308
604,117
605,355
606,206
607,145
608,13
609,46
610,188
611,128
612,93
613,238
614,8
615,388
616,123
617,384
618,410
619,38
620,58
621,212
622,26
623,204
624,75
625,128
626,335
627,42
628,139
629,31
630,52
631,296
632,271
633,293
634,323
635,293
636,47
637,104
638,3
639,38
640,290
641,259
642,384
643,293
644,274
645,28
646,211
647,207
648,268
649,42
650,340
651,177
652,92
653,34
654,317
655,83
656,65
657,217
658,88
659,76
660,89
661,251
662,141
663,41
664,142
665,88
666,252
667,260
668,317
669,389
670,264
671,91
672,41
673,2
674,234
675,102
676,382
677,290
678,266
679,264
680,388
681,392
682,92
683,403
684,69
685,215
686,235
687,354
688,118
689,280
690,151
691,378
692,101
693,188
694,163
695,313
696,23
697,224
698,365
699,40
700,1
701,334
702,75
703,169
704,390
705,377
706,153
707,156
708,372
709,23
710,24
711,272
712,384
713,38
714,91
715,289
716,393
717,145
718,206
719,129
720,95
721,298
722,50
723,72
724,220
725,382
726,97
727,218
728,261
729,313
730,251
731,55
732,376
733,327
734,86
735,364
736,153
737,395
738,315
739,298
740,377
741,90
742,359
743,397
744,4
745,18
746,155
747,395
748,402
749,366
750,352
751,194
752,46
753,298
754,274
755,394
756,107
757,414
758,6
759,12
760,70
761,371
762,321
763,16
764,201
765,370
766,69
767,115
768,334
769,364
770,352
771,92
772,331
773,66
774,294
775,336
776,347
777,46
778,214
779,139
780,87
781,267
782,348
783,84
784,270
785,265
786,258
787,369
788,156
789,292
790,55
791,346
792,247
793,114
794,214
795,186
796,114
797,353
798,220
799,195
800,126
801,38
802,134
803,26
804,122
805,82
806,325
807,103
808,241
809,168
810,381
811,288
812,76
813,88
814,60
815,24
816,17
817,12
818,14
819,209
820,41
821,309
822,100
823,203
824,165
825,108
826,234
827,276
828,206
829,267
830,31
831,224
832,180
833,180
834,264
835,16
836,148
837,225
838,293
839,362
840,262
841,145
842,56
843,236
844,14
845,335
846,265
847,38
848,368
849,414
850,18
851,195
852,120
853,380
854,362
855,106
856,156
857,210
858,58
859,149
860,341
861,104
862,282
863,288
864,152
865,120
866,343
867,181
868,45
869,82
870,15
871,286
872,129
873,99
874,46
875,150
876,238
877,295
878,5
879,397
880,225
881,155
882,243
883,102
884,233
885,75
886,387
887,361
888,378
889,105
890,203
891,287
892,406
893,26
894,234
895,66
896,359
897,347
898,364
899,183
900,284
901,116
902,119
903,308
904,313
905,44
906,288
907,191
908,3
909,139
910,54
911,30
912,115
913,250
914,2
915,366
916,189
917,305
918,141
919,156
920,53
921,140
922,384
923,135
924,121
925,345
926,197
927,71
928,124
929,243
930,321
931,199
932,256
933,141
934,233
935,155
936,145
937,385
938,155
939,302
940,93
941,5
942,177
943,156
944,62
945,107
946,365
947,357
948,30
949,159
950,275
951,103
952,25
953,25
954,2
955,232
956,123
957,298
958,58
959,188
960,290
961,207
962,213
963,253
964,256
965,224
966,87
967,159
968,242
969,75
970,217
971,65
972,390
973,338
974,298
975,73
976,318
977,267
978,11
979,86
980,239
981,117
982,32
983,200
984,347
985,371
986,349
987,32
988,132
989,136
990,105
991,380
992,155
993,354
994,285
995,319
996,289
997,269
998,320
999,134
1000,129
1001,368
1002,168
1003,297
1004,70
1005,253
1006,148
1007,304
1008,241
1009,297
1010,371
1011,83
1012,74
1013,184
1014,57
1015,210
1016,75
1017,127
1018,293
1019,38
1020,17
1021,412
1022,344
1023,17
1024,352
1025,102
1026,332
1027,59
1028,287
1029,266
1030,81
1031,332
1032,342
1033,149
1034,372
1035,333
1036,68
1037,301
1038,332
1039,193
1040,349
1041,295
1042,59
1043,32
1044,371
1045,23
1046,22
1047,386
1048,277
1049,328
1050,391
1051,28
1052,123
1053,138
1054,167
1055,120
1056,301
1057,133
1058,414
1059,400
1060,305
1061,343
1062,364
1063,305
1064,153
1065,297
1066,350
1067,15
1068,1
1069,317
1070,373
1071,16
1072,22
1073,323
1074,230
1075,265
1076,143
1077,0
1078,99
1079,294
1080,39
1081,259
1082,320
1083,312
1084,298
1085,309
1086,112
1087,59
1088,364
1089,137
1090,223
1091,271
1092,205
1093,214
1094,216
1095,267
1096,33
1097,284
1098,46
1099,125
1100,183
1101,248
1102,184
1103,248
1104,125
1105,59
1106,338
1107,102
1108,416
1109,129
1110,216
1111,123
1112,98
1113,348
1114,84
1115,355
1116,212
1117,0
1118,391
1119,24
1120,225
1121,329
1122,135
1123,32
1124,202
1125,354
1126,324
1127,134
1128,143
1129,97
1130,130
1131,126
1132,358
1133,134
1134,244
1135,75
1136,241
1137,225
1138,27
1139,188
1140,277
1141,153
1142,97
1143,1
1144,402
1145,27
1146,215
1147,101
1148,106
1149,119
1150,351
1151,133
1152,238
1153,110
1154,22
1155,4
1156,351
1157,371
1158,232
1159,327
1160,274
1161,285
1162,142
1163,26
1164,155
1165,287
1166,317
1167,145
1168,8
1169,180
1170,332
1171,109
1172,37
1173,203
1174,234
1175,70
1176,98
1177,104
1178,197
1179,236
1180,256
1181,228
1182,40
1183,239
1184,301
1185,341
1186,128
1187,189
1188,69
1189,29
1190,108
1191,339
1192,66
1193,237
1194,222
1195,19
1196,49
1197,222
1198,358
1199,91
1200,89
1201,317
1202,152
1203,400
1204,311
1205,143
1206,93
1207,265
1208,396
1209,406
1210,256
1211,1
1212,292
1213,373
1214,53
1215,292
1216,119
1217,217
1218,174
1219,325
1220,16
1221,40
1222,272
1223,262
1224,277
1225,322
1226,336
1227,276
1228,336
1229,335
1230,197
1231,181
1232,232
1233,90
1234,393
1235,358
1236,191
1237,199
1238,15
1239,23
1240,398
1241,64
1242,352
1243,355
1244,91
1245,296
1246,188
1247,11
1248,262
1249,265
1250,15
1251,402
1252,269
1253,31
1254,255
1255,348
1256,59
1257,257
1258,284
1259,244
1260,53
1261,46
1262,354
1263,245
1264,303
1265,115
1266,258
1267,310
1268,45
1269,364
1270,306
1271,396
1272,71
1273,42
1274,107
1275,87
1276,42
1277,219
1278,328
1279,349
1280,49
1281,152
1282,19
1283,334
1284,50
1285,165
1286,207
1287,59
1288,201
1289,309
1290,295
1291,150
1292,64
1293,176
1294,147
1295,349
1296,57
1297,13
1298,156
1299,295
1300,196
1301,234
1302,378
1303,168
1304,3
1305,51
1306,220
1307,50
1308,349
1309,62
1310,106
1311,74
1312,219
1313,263
1314,24
1315,216
1316,221
1317,81
1318,367
1319,139
1320,62
1321,272
1322,43
1323,195
1324,308
1325,22
1326,348
1327,55
1328,172
1329,64
1330,29
1331,175
1332,119
1333,292
1334,232
1335,384
1336,60
1337,201
1338,245
1339,356
1340,193
1341,220
1342,88
1343,412
1344,253
1345,86
1346,412
1347,344
1348,210
1349,253
1350,80
1351,245
1352,68
1353,398
1354,50
1355,411
1356,328
1357,43
1358,265
1359,277
1360,324
1361,306
1362,68
1363,279
1364,34
1365,72
1366,378
1367,159
1368,365
1369,235
1370,128
1371,205
1372,157
1373,88
1374,226
1375,195
1376,316
1377,253
1378,7
1379,22
1380,255
1381,244
1382,124
1383,150
1384,224
1385,158
1386,127
1387,84
1388,378
1389,122
1390,74
1391,21
1392,112
1393,128
1394,177
1395,30
1396,40
1397,280
1398,86
1399,117
1400,236
1401,232
1402,54
1403,279
1404,246
1405,18
1406,210
1407,159
1408,107
1409,160
1410,107
1411,51
1412,273
1413,152
1414,345
1415,47
1416,127
1417,130
1418,406
1419,341
1420,157
1421,285
1422,38
1423,2
1424,88
1425,62
1426,90
1427,280
1428,346
1429,203
1430,305
1431,319
1432,190
1433,363
1434,280
